timestamp,temperature,temperature_class,humidity,humidity_class
775437233,21.3,ambiante,71.4,confortable
775437237,21.3,ambiante,71.5,confortable
775437241,21.3,ambiante,71.5,confortable
775437244,21.3,ambiante,71.5,confortable
775437248,21.3,ambiante,71.5,confortable
775437251,21.3,ambiante,71.4,confortable
775437255,21.3,ambiante,71.3,confortable
775437259,21.3,ambiante,71.3,confortable
775437262,21.3,ambiante,71.3,confortable
775437266,21.3,ambiante,71.3,confortable
775437269,21.3,ambiante,71.2,confortable
775437273,21.3,ambiante,71.1,confortable
775437277,21.3,ambiante,71.1,confortable
775437280,21.3,ambiante,71,confortable
775437284,21.3,ambiante,70.9,confortable
775437287,21.3,ambiante,70.8,confortable
775437291,21.3,ambiante,70.8,confortable
775437295,21.3,ambiante,70.7,confortable
775437298,21.3,ambiante,70.8,confortable
775437302,21.3,ambiante,70.9,confortable
775437305,21.3,ambiante,71,confortable
775437309,21.3,ambiante,71.1,confortable
775437313,21.3,ambiante,71.1,confortable
775437316,21.3,ambiante,71,confortable
775437320,21.3,ambiante,71,confortable
775437323,21.3,ambiante,71.1,confortable
775437327,21.3,ambiante,71.2,confortable
775437331,21.3,ambiante,71,confortable
775437334,21.3,ambiante,71,confortable
775437338,21.3,ambiante,71,confortable
775437341,21.3,ambiante,71,confortable
775437345,21.3,ambiante,71,confortable
775437349,21.3,ambiante,71,confortable
775437352,21.3,ambiante,71,confortable
775437356,21.3,ambiante,71,confortable
775437359,21.3,ambiante,71,confortable
775437363,21.3,ambiante,71,confortable
775437367,21.3,ambiante,70.9,confortable
775437370,21.2,ambiante,70.8,confortable
775437374,21.3,ambiante,70.9,confortable
775437377,21.3,ambiante,71,confortable
775437381,21.3,ambiante,71,confortable
775437385,21.3,ambiante,71,confortable
775437388,21.3,ambiante,70.9,confortable
775437392,21.3,ambiante,70.8,confortable
775437395,21.2,ambiante,70.6,confortable
775437399,21.3,ambiante,70.6,confortable
775437403,21.3,ambiante,70.6,confortable
775437406,21.3,ambiante,70.7,confortable
775437410,21.3,ambiante,70.6,confortable
775437413,21.3,ambiante,70.6,confortable
775437417,21.2,ambiante,70.5,confortable
775437420,21.3,ambiante,70.6,confortable
775437424,21.2,ambiante,70.6,confortable
775437428,21.2,ambiante,70.7,confortable
775437431,21.2,ambiante,70.8,confortable
775437435,21.2,ambiante,71.9,confortable
775437438,21.3,ambiante,73,confortable
775437442,21.3,ambiante,73.4,confortable
775437446,21.3,ambiante,73.2,confortable
775437449,21.3,ambiante,72.9,confortable
775437453,21.3,ambiante,72.5,confortable
775437456,21.3,ambiante,72.2,confortable
775437460,21.3,ambiante,72,confortable
775437464,21.3,ambiante,71.7,confortable
775437467,21.3,ambiante,71.6,confortable
775437471,21.3,ambiante,72.1,confortable
775437474,21.3,ambiante,71.8,confortable
775437478,21.4,ambiante,71.3,confortable
775437482,21.3,ambiante,73.6,confortable
775437485,21.5,ambiante,73.1,confortable
775437489,21.6,ambiante,72.9,confortable
775437492,21.7,ambiante,73.1,confortable
775437496,21.7,ambiante,72.8,confortable
775437500,21.8,ambiante,73,confortable
775437503,21.8,ambiante,72.7,confortable
775437507,21.8,ambiante,72.3,confortable
775437510,21.8,ambiante,71.9,confortable
775437514,21.8,ambiante,71.8,confortable
775437518,21.8,ambiante,73.4,confortable
775437521,21.8,ambiante,73.8,confortable
775437525,21.8,ambiante,73.4,confortable
775437528,21.8,ambiante,72.7,confortable
775437532,21.8,ambiante,72.5,confortable
775437536,21.8,ambiante,72.7,confortable
775437539,21.8,ambiante,73.9,confortable
775437543,21.9,ambiante,74.3,confortable
775437546,22.2,ambiante,73.7,confortable
775437550,22.4,ambiante,73.6,confortable
775437554,22.6,ambiante,72.1,confortable
775437557,22.8,ambiante,70.7,confortable
775437561,22.9,ambiante,69.8,confortable
775437564,22.9,ambiante,69.2,confortable
775437568,22.9,ambiante,68.7,confortable
775437572,22.9,ambiante,68.5,confortable
775437575,22.8,ambiante,68.1,confortable
775437579,22.9,ambiante,67.8,confortable
775437582,22.8,ambiante,67.5,confortable
775437586,22.8,ambiante,67.2,confortable
775437590,22.8,ambiante,67,confortable
775437593,22.8,ambiante,66.8,confortable
775437597,22.7,ambiante,66.5,confortable
775437600,22.7,ambiante,66.5,confortable
775437604,22.7,ambiante,66.8,confortable
775437608,22.6,ambiante,66.6,confortable
775437611,22.6,ambiante,66.3,confortable
775437615,22.6,ambiante,66,confortable
775437618,22.6,ambiante,65.6,confortable
775437622,22.7,ambiante,65.5,confortable
775437626,22.6,ambiante,66,confortable
775437629,22.6,ambiante,66.2,confortable
775437633,22.6,ambiante,66.3,confortable
775437636,22.7,ambiante,66.7,confortable
775437640,22.6,ambiante,67,confortable
775437644,22.6,ambiante,67.6,confortable
775437647,22.5,ambiante,67.9,confortable
775437651,22.6,ambiante,68.1,confortable
775437654,22.5,ambiante,68.2,confortable
775437658,22.5,ambiante,67.9,confortable
775437662,22.5,ambiante,68.4,confortable
775437665,22.5,ambiante,68.6,confortable
775437669,22.5,ambiante,68.7,confortable
775437672,22.5,ambiante,68.8,confortable
775437676,22.5,ambiante,68.6,confortable
775437680,22.5,ambiante,68.1,confortable
775437683,22.5,ambiante,67.7,confortable
775437687,22.5,ambiante,67.4,confortable
775437690,22.5,ambiante,67.1,confortable
775437694,22.4,ambiante,66.8,confortable
775437698,22.4,ambiante,66.5,confortable
775437701,22.4,ambiante,66.2,confortable
775437705,22.5,ambiante,66.6,confortable
775437708,22.4,ambiante,67.4,confortable
775437712,22.5,ambiante,68.1,confortable
775437716,22.5,ambiante,68.8,confortable
775437719,22.5,ambiante,68.4,confortable
775437723,22.5,ambiante,67.5,confortable
775437726,22.6,ambiante,66.8,confortable
775437730,22.6,ambiante,66.4,confortable
775437734,22.6,ambiante,66.1,confortable
775437737,22.6,ambiante,65.7,confortable
775437741,22.6,ambiante,65.9,confortable
775437744,22.7,ambiante,65.9,confortable
775437748,22.6,ambiante,66.1,confortable
775437751,22.6,ambiante,66.9,confortable
775437755,22.7,ambiante,67.2,confortable
775437759,22.7,ambiante,68,confortable
775437762,22.7,ambiante,67.7,confortable
775437766,22.7,ambiante,67.2,confortable
775437769,22.7,ambiante,66.7,confortable
775437773,22.8,ambiante,66.2,confortable
775437777,22.8,ambiante,65.7,confortable
775437780,22.8,ambiante,65.2,confortable
775437784,22.8,ambiante,64.8,confortable
775437787,22.8,ambiante,64.4,confortable
775437791,22.8,ambiante,64.1,confortable
775437795,22.8,ambiante,63.9,confortable
775437798,22.9,ambiante,63.7,confortable
775437802,22.9,ambiante,63.6,confortable
775437805,22.9,ambiante,65.6,confortable
775437809,22.9,ambiante,67.7,confortable
775437813,22.9,ambiante,68.9,confortable
775437816,23,ambiante,68.3,confortable
775437820,23.1,ambiante,67.9,confortable
775437823,23.2,ambiante,68.5,confortable
775437827,23.3,ambiante,69.1,confortable
775437831,23.4,ambiante,69.4,confortable
775437834,23.5,ambiante,69.5,confortable
775437838,23.7,ambiante,69.4,confortable
775437841,23.9,ambiante,69.3,confortable
775437845,24,ambiante,68.9,confortable
775437849,24.2,ambiante,68.5,confortable
775437852,24.3,ambiante,68.2,confortable
775437856,24.5,ambiante,68,confortable
